src_ip,dst_ip,src_port, Destination Port,protocol,timestamp, Flow Duration,flow_byts_s,flow_pkts_s,fwd_pkts_s, Bwd Packets/s,tot_fwd_pkts,tot_bwd_pkts,Total Length of Fwd Packets,totlen_bwd_pkts,fwd_pkt_len_max, Fwd Packet Length Min, Fwd Packet Length Mean,fwd_pkt_len_std,bwd_pkt_len_max, Bwd Packet Length Min,bwd_pkt_len_mean, Bwd Packet Length Std,pkt_len_max, Min Packet Length,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min, act_data_pkt_fwd, Flow IAT Mean, Flow IAT Max,flow_iat_min,flow_iat_std,Fwd IAT Total,fwd_iat_max,fwd_iat_min,fwd_iat_mean, Fwd IAT Std,Bwd IAT Total, Bwd IAT Max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt, PSH Flag Count, ACK Flag Count, URG Flag Count,ece_flag_cnt, Down/Up Ratio,pkt_size_avg,Init_Win_bytes_forward, Init_Win_bytes_backward,active_max,active_min,active_mean,active_std,idle_max, Idle Min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg, min_seg_size_forward,bwd_seg_size_avg,cwe_flag_count, Subflow Fwd Bytes,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,label
127.0.0.1,127.0.0.1,43269,37316,6,2024-05-30 17:45:43,90927398.20480347,3355.204328104083,10.183949153744528,5.36691920845284,4.817029945291688,488,438,244756,60324,65535.0,66.0,501.54918032786884,4192.280369727311,844.0,66.0,137.72602739726028,146.9581924464941,65535,66,329.4600431965443,3050.4607551315653,9305310.818597838,9760,8760,20,314,98299.88995113889,1050088.1671905518,0.0,261614.37845895332,90927391.0522461,1079886.4364624023,0.2384185791015625,186709.22187319526,339228.3258179485,90309546.23222351,1103313.684463501,0.0,206658.0005314039,353820.3810528979,0,0,0,0,1,0,0,0,0,0,0,0.8975409836065574,329.4600431965443,512,24571,1050064.0869140625,24.557113647460938,418954.31558662484,396249.6468389081,1050087.9287719727,5094.289779663086,423816.50153721607,397461.07177110354,855.5555555555555,5.777777777777778,645.8095238095239,4.095238095238095,973.2935454820328,3325.9373632285487,501.54918032786884,137.72602739726028,0,488,438,244756,60324,Benign
127.0.0.1,127.0.0.1,37324,43269,6,2024-05-30 17:45:44,90047166.82434082,1616.8415413225944,14.148140856949457,8.906443459398323,5.241697397551133,802,472,99268,46324,502.0,66.0,123.77556109725685,69.39600124484801,214.0,66.0,98.14406779661017,17.913764910915273,502,66,114.27943485086342,57.47805888931659,3303.7272536837463,16040,9440,20,402,70736.18760749475,1363363.9812469482,0.0,226123.26870586624,89997286.55815125,1363363.9812469482,0.0,112356.16299394662,278231.17241711635,90047043.56193542,1364808.0825805664,0.2384185791015625,191182.68272173125,343004.1232893468,0,0,0,0,1,0,0,0,0,0,0,0.5885286783042394,114.27943485086342,17396,22002,1363363.7428283691,0.95367431640625,375429.62828440644,397536.98475941207,1363363.7428283691,6020.784378051758,375638.24853138946,397352.3950570227,283.75,4.0,114.0,4.0,594.8783964980596,319.0546904444944,123.77556109725685,98.14406779661017,0,802,472,99268,46324,Benign
172.18.165.114,172.18.165.114,56862,5000,6,2024-05-30 17:47:15,57042.598724365234,140211.00333536742,560.9842594063214,280.4921297031607,280.4921297031607,16,16,6584,1414,2588.0,66.0,411.5,826.161455164788,196.0,66.0,88.375,41.56903144168745,2588,66,249.9375,606.8260117972449,368237.80859375,320,320,20,4,1840.0838298182334,55622.33924865723,0.0,9820.323816606196,57038.068771362305,55649.2805480957,0.0,3802.5379180908203,13858.307908756502,57030.439376831055,55622.33924865723,0.0,3802.029291788737,13851.057314426967,0,0,0,0,1,0,0,0,0,0,0,1.0,249.9375,65495,512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5512.0,4.0,342.0,6.0,502587035.82608694,391392.07858117326,411.5,88.375,0,16,16,6584,1414,Benign
127.0.0.1,127.0.0.1,41444,6379,6,2024-05-30 17:47:15,445.36590576171875,18748628.69379015,44906.895074946464,26944.13704496788,17962.758029978588,12,8,7798,552,3561.0,66.0,649.8333333333334,1301.9165893234313,74.0,66.0,69.0,3.3166247903554,3561,66,417.5,1047.8380838660141,1097964.65,240,160,20,2,23.440310829564144,184.05914306640625,0.2384185791015625,45.053445858734484,445.36590576171875,188.1122589111328,0.2384185791015625,40.4878096147017,59.70069932551015,428.91502380371094,261.54518127441406,0.2384185791015625,61.27357482910156,89.80394966954199,0,0,0,0,1,0,0,0,0,0,0,0.6666666666666666,417.5,65495,512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,649.8333333333334,69.0,0,12,8,7798,552,Benign
127.0.0.1,127.0.0.1,6379,35468,6,2024-05-30 17:47:15,42.67692565917969,169974755.39664805,93727.46368715084,46863.73184357542,46863.73184357542,2,2,7122,132,3561.0,3561.0,3561.0,0.0,66.0,66.0,66.0,0.0,3561,66,1813.5,1747.5,3053756.25,40,40,20,2,14.225641886393229,41.484832763671875,0.2384185791015625,19.277370380066024,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,1813.5,512,494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3561.0,66.0,0,2,2,7122,132,Benign
127.0.0.1,127.0.0.1,6379,35458,6,2024-05-30 17:47:15,360609.769821167,20481.97419516075,16.63848431775853,5.5461614392528436,11.092322878505687,2,4,7122,264,3561.0,3561.0,3561.0,0.0,66.0,66.0,66.0,0.0,3561,66,1231.0,1647.5588001646556,2714450.0,40,80,20,2,72121.9539642334,360518.4555053711,0.476837158203125,144198.25219114925,0,0.0,0.0,0.0,0.0,360571.14601135254,360518.4555053711,0.95367431640625,120190.38200378418,169937.61174711617,0,0,0,0,1,0,0,0,0,0,0,2.0,1231.0,512,512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3561.0,66.0,0,2,4,7122,264,Benign
127.0.0.1,127.0.0.1,6379,35444,6,2024-05-30 17:47:15,50448.65608215332,154255.84355165716,198.22133584124538,79.28853433649816,118.93280150474723,4,6,7324,458,3561.0,101.0,1831.0,1730.0,97.0,66.0,76.33333333333333,14.613540144521982,3561,66,778.2,1391.4788392210642,1936213.36,80,120,20,4,5605.406231350369,47254.80079650879,0.476837158203125,14756.209509151915,3190.9942626953125,3190.0405883789062,0.476837158203125,1063.6647542317708,1503.574771676641,50407.64808654785,47324.89585876465,0.95367431640625,10081.52961730957,18659.761871701074,0,0,0,0,1,0,0,0,0,0,0,1.5,778.2,512,512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1831.0,76.33333333333333,0,4,6,7324,458,Benign
172.18.165.114,172.18.165.114,56872,5000,6,2024-05-30 17:47:15,2.86102294921875,51729749.333333336,699050.6666666666,699050.6666666666,0.0,2,0,148,0,74.0,74.0,74.0,0.0,0.0,0.0,0.0,0.0,74,74,74.0,0.0,0.0,40,0,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,74.0,65495,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0,2,0,148,0,Benign
172.18.165.114,172.18.165.114,46530,5000,6,2024-05-30 17:47:57,29317.378997802734,254183.70450368396,1091.5027568596197,545.7513784298098,545.7513784298098,16,16,6038,1414,2315.0,66.0,377.375,736.3071603447844,196.0,66.0,88.375,41.56903144168745,2315,66,232.875,541.1269346234764,292818.359375,320,320,20,4,945.721903154927,28680.086135864258,0.0,5063.945585259734,29309.27276611328,28715.61050415039,0.0,1953.9515177408855,7153.016525401363,29302.358627319336,28680.086135864258,0.0,1953.4905751546223,7143.514727535746,0,0,0,0,1,0,0,0,0,0,0,1.0,232.875,65495,512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4966.0,4.0,342.0,6.0,462864748.0888889,2363182.8138385504,377.375,88.375,0,16,16,6038,1414,Benign
127.0.0.1,127.0.0.1,35444,6379,6,2024-05-30 17:47:57,112.05673217773438,2355949.480851064,35696.20425531915,35696.20425531915,0.0,4,0,264,0,66.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,66,66,66.0,0.0,0.0,80,0,20,0,37.35224405924479,90.59906005859375,3.337860107421875,38.13173731575514,112.05673217773438,90.59906005859375,3.337860107421875,37.35224405924479,38.13173731575514,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,66.0,512,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0,4,0,264,0,Benign
